23, 15, 21, 35, 09
22, 32, 28, 24, 36
10, 17, 04, 21, 00
04, 25, 09, 37, 02
17, 36, 16, 25, 05
24, 12, 25, 15, 30
11, 16, 39, 23, 18
30, 17, 02, 04, 16
01, 38, 40, 22, 14
00, 03, 24, 13, 25
26, 25, 39, 20, 09
08, 25, 17, 23, 03
17, 19, 27, 06, 15
24, 30, 29, 31, 25
18, 36, 04, 22, 09
33, 23, 06, 38, 40
15, 28, 23, 13, 11
25, 21, 15, 06, 14
19, 06, 01, 03, 12
22, 09, 11, 40, 37
35, 17, 07, 32, 20
29, 36, 06, 26, 28
34, 06, 05, 00, 21
19, 40, 23, 00, 15
27, 37, 17, 05, 33
36, 01, 03, 33, 20
11, 37, 04, 27, 14
00, 06, 15, 04, 33
11, 12, 23, 01, 37
00, 05, 10, 23, 11
17, 06, 18, 01, 25
11, 07, 40, 02, 06
06, 30, 03, 18, 39
04, 34, 28, 12, 37
32, 00, 34, 28, 17
01, 39, 26, 19, 33
16, 20, 17, 19, 15
30, 40, 03, 24, 02
04, 27, 34, 18, 19
28, 21, 18, 32, 37
13, 39, 10, 34, 38
24, 08, 13, 19, 38
32, 03, 37, 38, 20
30, 24, 17, 33, 15
36, 17, 10, 08, 05
29, 09, 20, 15, 23
33, 02, 27, 29, 09
38, 34, 32, 04, 27
19, 01, 21, 10, 32
35, 23, 13, 03, 33
31, 21, 28, 14, 22
19, 11, 22, 26, 09
37, 10, 39, 32, 12
19, 04, 30, 16, 08
16, 03, 13, 08, 32
17, 09, 05, 34, 36
21, 08, 32, 13, 10
35, 01, 14, 30, 08
21, 08, 09, 01, 22
12, 22, 27, 30, 19
00, 15, 29, 40, 12
22, 10, 17, 15, 39
12, 04, 34, 38, 05
36, 20, 04, 28, 26
16, 39, 14, 29, 02
33, 12, 16, 37, 22
25, 00, 05, 24, 27
11, 24, 13, 18, 22
23, 33, 40, 28, 26
37, 18, 29, 24, 05
11, 26, 34, 03, 21
08, 22, 35, 40, 26
36, 30, 06, 37, 14
01, 11, 04, 36, 38
20, 19, 16, 17, 30
14, 24, 10, 30, 04
31, 25, 19, 11, 35
13, 19, 23, 30, 17
10, 22, 25, 18, 11
23, 27, 33, 10, 00
27, 12, 22, 25, 15
17, 04, 28, 23, 32
16, 40, 33, 38, 07
04, 37, 20, 02, 03
32, 10, 33, 15, 14
40, 18, 35, 19, 12
18, 30, 22, 03, 07
09, 18, 36, 06, 13
26, 32, 39, 07, 00
31, 12, 01, 00, 06
00, 38, 35, 21, 02
28, 29, 22, 16, 13
31, 33, 24, 05, 00
21, 03, 00, 27, 28
02, 04, 31, 00, 40
32, 06, 05, 39, 11
37, 38, 21, 33, 22
18, 08, 06, 37, 14
29, 15, 35, 21, 18
33, 30, 39, 10, 38
24, 08, 16, 17, 21
37, 28, 22, 06, 09
22, 35, 24, 16, 37
07, 03, 06, 13, 18
15, 38, 12, 31, 13
28, 01, 30, 26, 29
12, 05, 26, 18, 23
38, 08, 23, 02, 16
04, 36, 38, 27, 35
00, 37, 13, 30, 16
17, 14, 26, 03, 30
35, 28, 14, 10, 25
25, 11, 09, 03, 14
39, 37, 10, 18, 15
00, 34, 04, 26, 36
31, 29, 35, 19, 06
10, 19, 28, 06, 03
37, 07, 06, 00, 31
23, 08, 33, 26, 35
32, 33, 27, 03, 02
01, 25, 04, 17, 35
36, 15, 26, 35, 11
01, 11, 22, 23, 12
39, 34, 19, 18, 04
09, 20, 37, 24, 35
12, 05, 13, 01, 19
36, 21, 19, 11, 12
00, 29, 21, 03, 40
31, 08, 30, 13, 03
07, 38, 39, 25, 11
02, 07, 20, 32, 40
22, 24, 35, 27, 14
36, 33, 13, 23, 39
21, 22, 10, 29, 34
31, 37, 16, 12, 33
02, 34, 05, 28, 40
16, 06, 20, 22, 40
02, 32, 10, 25, 34
18, 35, 32, 02, 29
32, 04, 08, 24, 34
34, 07, 17, 18, 40
25, 38, 02, 28, 05
37, 00, 17, 19, 11
11, 23, 12, 25, 13
01, 30, 21, 31, 00
37, 08, 40, 32, 21
01, 19, 03, 35, 18
33, 16, 09, 06, 40
13, 35, 04, 34, 09
40, 31, 27, 03, 18
20, 18, 27, 35, 11
06, 02, 08, 31, 04
15, 21, 00, 30, 14
22, 02, 34, 21, 03
40, 31, 08, 19, 16
31, 13, 08, 11, 12
16, 40, 14, 15, 29
21, 33, 17, 07, 25
06, 26, 20, 03, 30
29, 27, 31, 05, 13
33, 26, 21, 13, 15
